SatNAME,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
GSAT-16                 ,40332U,14078A,20302.56402458,.00000081,00000-0,00000-0,0,9992,40332,0.0356,264.1630,0.0004849,220.5426,170.7884,1.00271057 
DIRECTV 14              ,40333U,14078B,20302.40500917,-.00000129,00000-0,00000-0,0,9999,40333,0.0171,174.6680,0.0000149,303.3854,325.7426,1.00270572 
CBERS 4                 ,40336U,14079A,20302.80584071,-.00000022,00000-0,76714-5,0,9992,40336,98.5500,13.3633,0.0001828,82.7338,277.4050,14.35421011
YAOGAN 25A              ,40338U,14080A,20302.86109039,-.00000158,00000-0,-10452-3,0,9995,40338,63.4008,202.8522,0.0181986,0.9864,359.1483,13.45192706
YAOGAN 25B              ,40339U,14080B,20302.86132748,-.00000204,00000-0,-17391-3,0,9990,40339,63.4021,202.9261,0.0181964,0.8694,359.2611,13.45193110
YAOGAN 25C              ,40340U,14080C,20302.86128731,-.00000150,00000-0,-91523-4,0,9999,40340,63.4010,203.5208,0.0182089,1.2097,358.9331,13.45193245
YAMAL 401               ,40345U,14082A,20302.81367959,-.00000231,00000-0,00000+0,0,9992,40345,0.0216,221.4873,0.0000675,116.8828,82.1063,1.00274319 
O3B FM10                ,40348U,14083A,20302.28541844,-.00000028,00000-0,00000-0,0,9999,40348,0.0467,14.1171,0.0002614,202.0210,143.8495,5.001156431
O3B FM11                ,40349U,14083B,20302.29860273,-.00000028,00000-0,00000-0,0,9991,40349,0.0511,16.2209,0.0003256,207.1907,136.5680,5.001157571
O3B FM12                ,40350U,14083C,20302.36614436,-.00000027,00000-0,00000-0,0,9998,40350,0.0508,14.9462,0.0002685,206.4718,138.5669,5.001156201
O3B FM9                 ,40351U,14083D,20302.35224900,-.00000027,00000-0,00000-0,0,9991,40351,0.0520,16.9629,0.0002698,199.7688,143.2551,5.001152761
KONDOR-E                ,40353U,14084A,20302.51561388,.00005882,00000-0,13444-3,0,9998,40353,74.7379,134.9293,0.0001780,210.2375,149.8736,15.43011641
COSMOS 2502             ,40358U,14086A,20295.41352258,-.00000076,00000-0,-70396-6,0,9993,40358,67.1559,352.4536,0.0004979,283.1912,76.8615,13.97438498
RESURS P2               ,40360U,14087A,20302.75168970,.00001222,00000-0,39759-4,0,9997,40360,97.2412,28.9458,0.0010954,70.6425,47.6993,15.33727419
